key,lang,status,message
"Apple:MXGJ3QN/A",FI,OK,""
"Apple:MWYX3QN/A",FI,OK,""
"Apple:MWY23QN/A",FI,OK,""
"Suunto:SS050438000",FI,OK,""
"Suunto:SS050053000",FI,OK,""
"Suunto:SS050463000",FI,OK,""
"Garmin:010-02582-61",FI,OK,""
"Garmin:010-02704-01",FI,OK,""
"Garmin:010-02641-13",FI,OK,""
"Apple:MXP63DN/A",FI,OK,""
"Apple:MTJV3DN/A",FI,OK,""
"Apple:MWW63DN/A",FI,OK,""
"Deltaco Gaming:GAM-128",FI,OK,""
"Deltaco Gaming:GAM-030-W",FI,OK,""
"Jabra:25089-899-899-01",FI,OK,""
"Jabra:5399-823-389-01",FI,OK,""
"Philips:TAG5106BK/00",FI,OK,""
"Philips:SHE2305WT/00",FI,OK,""
"Philips:SHE2405PP/00",FI,OK,""
