key,lang,status,message
"Eleaf:MINI_ISTICK_10W_RED",EN,ERROR,"JSON 403: {\"StatusCode\":9,\"Code\":403,\"Error\":\"Forbidden\",\"Message\":\"To access Full Icecat content, an app_key is required. Full Icecat users can find it on their My Profile page.\"}"
"Vuse:VUSE RELOAD PEN BLUEBERRY RASPBERRY BLUE",EN,ERROR,"JSON 403: {\"StatusCode\":9,\"Code\":403,\"Error\":\"Forbidden\",\"Message\":\"To access Full Icecat content, an app_key is required. Full Icecat users can find it on their My Profile page.\"}"
"Vuse:VUSE PRO DEVICE KIT GOLD",EN,ERROR,"JSON 403: {\"StatusCode\":9,\"Code\":403,\"Error\":\"Forbidden\",\"Message\":\"To access Full Icecat content, an app_key is required. Full Icecat users can find it on their My Profile page.\"}"
"Geek Bar:GEEK BAR ELITE 1000 COLA ICE",EN,ERROR,"JSON 403: {\"StatusCode\":9,\"Code\":403,\"Error\":\"Forbidden\",\"Message\":\"To access Full Icecat content, an app_key is required. Full Icecat users can find it on their My Profile page.\"}"
"Geek Bar:GEEK BAR MELOSO MINI BANANA ICE",EN,ERROR,"JSON 403: {\"StatusCode\":9,\"Code\":403,\"Error\":\"Forbidden\",\"Message\":\"To access Full Icecat content, an app_key is required. Full Icecat users can find it on their My Profile page.\"}"
"Vitabalans:16627",EN,ERROR,"JSON 403: {\"StatusCode\":9,\"Code\":403,\"Error\":\"Forbidden\",\"Message\":\"To access Full Icecat content, an app_key is required. Full Icecat users can find it on their My Profile page.\"}"
"Allegra K:1-00-41167-42326-4",EN,ERROR,"JSON 403: {\"StatusCode\":9,\"Code\":403,\"Error\":\"Forbidden\",\"Message\":\"To access Full Icecat content, an app_key is required. Full Icecat users can find it on their My Profile page.\"}"
"Bayer:CLARITIN LIQUID",EN,ERROR,"JSON 403: {\"StatusCode\":9,\"Code\":403,\"Error\":\"Forbidden\",\"Message\":\"To access Full Icecat content, an app_key is required. Full Icecat users can find it on their My Profile page.\"}"
"Bayer:CLARITIN CHEWABLES",EN,ERROR,"JSON 403: {\"StatusCode\":9,\"Code\":403,\"Error\":\"Forbidden\",\"Message\":\"To access Full Icecat content, an app_key is required. Full Icecat users can find it on their My Profile page.\"}"
"Bayer:CLARITIN-D",EN,ERROR,"JSON 403: {\"StatusCode\":9,\"Code\":403,\"Error\":\"Forbidden\",\"Message\":\"To access Full Icecat content, an app_key is required. Full Icecat users can find it on their My Profile page.\"}"
"Verman:DESLOX5MG",EN,ERROR,"JSON 403: {\"StatusCode\":9,\"Code\":403,\"Error\":\"Forbidden\",\"Message\":\"To access Full Icecat content, an app_key is required. Full Icecat users can find it on their My Profile page.\"}"
"Verman:KESTOX10MG30",EN,ERROR,"JSON 403: {\"StatusCode\":9,\"Code\":403,\"Error\":\"Forbidden\",\"Message\":\"To access Full Icecat content, an app_key is required. Full Icecat users can find it on their My Profile page.\"}"
"Verman:NENOXIN",EN,ERROR,"JSON 403: {\"StatusCode\":9,\"Code\":403,\"Error\":\"Forbidden\",\"Message\":\"To access Full Icecat content, an app_key is required. Full Icecat users can find it on their My Profile page.\"}"
"Verman:OCUTIFEX",EN,ERROR,"JSON 403: {\"StatusCode\":9,\"Code\":403,\"Error\":\"Forbidden\",\"Message\":\"To access Full Icecat content, an app_key is required. Full Icecat users can find it on their My Profile page.\"}"
"Verman:HEINIX10MG30",EN,ERROR,"JSON 403: {\"StatusCode\":9,\"Code\":403,\"Error\":\"Forbidden\",\"Message\":\"To access Full Icecat content, an app_key is required. Full Icecat users can find it on their My Profile page.\"}"
"Galena Pharma:YSKäHUNAJA",EN,ERROR,"JSON 403: {\"StatusCode\":9,\"Code\":403,\"Error\":\"Forbidden\",\"Message\":\"To access Full Icecat content, an app_key is required. Full Icecat users can find it on their My Profile page.\"}"
"Apteq:9264186-1",EN,ERROR,"JSON 403: {\"StatusCode\":9,\"Code\":403,\"Error\":\"Forbidden\",\"Message\":\"To access Full Icecat content, an app_key is required. Full Icecat users can find it on their My Profile page.\"}"
"Apteq:12238",EN,ERROR,"JSON 403: {\"StatusCode\":9,\"Code\":403,\"Error\":\"Forbidden\",\"Message\":\"To access Full Icecat content, an app_key is required. Full Icecat users can find it on their My Profile page.\"}"
"Vitabalans:KATAPEKT",EN,ERROR,"JSON 403: {\"StatusCode\":9,\"Code\":403,\"Error\":\"Forbidden\",\"Message\":\"To access Full Icecat content, an app_key is required. Full Icecat users can find it on their My Profile page.\"}"
"Dr. C. SOLDAN:7666386",EN,ERROR,"JSON 403: {\"StatusCode\":9,\"Code\":403,\"Error\":\"Forbidden\",\"Message\":\"To access Full Icecat content, an app_key is required. Full Icecat users can find it on their My Profile page.\"}"
"Manuka Health:WH95",EN,ERROR,"JSON 403: {\"StatusCode\":9,\"Code\":403,\"Error\":\"Forbidden\",\"Message\":\"To access Full Icecat content, an app_key is required. Full Icecat users can find it on their My Profile page.\"}"
"Vicks:323900039209",EN,ERROR,"JSON 403: {\"StatusCode\":9,\"Code\":403,\"Error\":\"Forbidden\",\"Message\":\"To access Full Icecat content, an app_key is required. Full Icecat users can find it on their My Profile page.\"}"
"Vicks:323900030862",EN,ERROR,"JSON 403: {\"StatusCode\":9,\"Code\":403,\"Error\":\"Forbidden\",\"Message\":\"To access Full Icecat content, an app_key is required. Full Icecat users can find it on their My Profile page.\"}"
"Vicks:323900041226",EN,ERROR,"JSON 403: {\"StatusCode\":9,\"Code\":403,\"Error\":\"Forbidden\",\"Message\":\"To access Full Icecat content, an app_key is required. Full Icecat users can find it on their My Profile page.\"}"
"Vicks:323900041219",EN,ERROR,"JSON 403: {\"StatusCode\":9,\"Code\":403,\"Error\":\"Forbidden\",\"Message\":\"To access Full Icecat content, an app_key is required. Full Icecat users can find it on their My Profile page.\"}"
"Essence:954316",EN,ERROR,"JSON 403: {\"StatusCode\":9,\"Code\":403,\"Error\":\"Forbidden\",\"Message\":\"To access Full Icecat content, an app_key is required. Full Icecat users can find it on their My Profile page.\"}"
"Essence:954315",EN,ERROR,"JSON 403: {\"StatusCode\":9,\"Code\":403,\"Error\":\"Forbidden\",\"Message\":\"To access Full Icecat content, an app_key is required. Full Icecat users can find it on their My Profile page.\"}"
"Essence:942239",EN,ERROR,"JSON 403: {\"StatusCode\":9,\"Code\":403,\"Error\":\"Forbidden\",\"Message\":\"To access Full Icecat content, an app_key is required. Full Icecat users can find it on their My Profile page.\"}"
"Essence:942219",EN,ERROR,"JSON 403: {\"StatusCode\":9,\"Code\":403,\"Error\":\"Forbidden\",\"Message\":\"To access Full Icecat content, an app_key is required. Full Icecat users can find it on their My Profile page.\"}"
"Essence:934872",EN,ERROR,"JSON 403: {\"StatusCode\":9,\"Code\":403,\"Error\":\"Forbidden\",\"Message\":\"To access Full Icecat content, an app_key is required. Full Icecat users can find it on their My Profile page.\"}"
"Depend:291010132",EN,ERROR,"JSON 403: {\"StatusCode\":9,\"Code\":403,\"Error\":\"Forbidden\",\"Message\":\"To access Full Icecat content, an app_key is required. Full Icecat users can find it on their My Profile page.\"}"
"Depend:291010124",EN,ERROR,"JSON 403: {\"StatusCode\":9,\"Code\":403,\"Error\":\"Forbidden\",\"Message\":\"To access Full Icecat content, an app_key is required. Full Icecat users can find it on their My Profile page.\"}"
"CATRICE:951621",EN,ERROR,"JSON 403: {\"StatusCode\":9,\"Code\":403,\"Error\":\"Forbidden\",\"Message\":\"To access Full Icecat content, an app_key is required. Full Icecat users can find it on their My Profile page.\"}"
"CATRICE:951649",EN,ERROR,"JSON 403: {\"StatusCode\":9,\"Code\":403,\"Error\":\"Forbidden\",\"Message\":\"To access Full Icecat content, an app_key is required. Full Icecat users can find it on their My Profile page.\"}"
"CATRICE:954158",EN,ERROR,"JSON 403: {\"StatusCode\":9,\"Code\":403,\"Error\":\"Forbidden\",\"Message\":\"To access Full Icecat content, an app_key is required. Full Icecat users can find it on their My Profile page.\"}"
"Essence:954284",EN,ERROR,"JSON 403: {\"StatusCode\":9,\"Code\":403,\"Error\":\"Forbidden\",\"Message\":\"To access Full Icecat content, an app_key is required. Full Icecat users can find it on their My Profile page.\"}"
"Essence:946635",EN,ERROR,"JSON 403: {\"StatusCode\":9,\"Code\":403,\"Error\":\"Forbidden\",\"Message\":\"To access Full Icecat content, an app_key is required. Full Icecat users can find it on their My Profile page.\"}"
"Essence:932366",EN,ERROR,"JSON 403: {\"StatusCode\":9,\"Code\":403,\"Error\":\"Forbidden\",\"Message\":\"To access Full Icecat content, an app_key is required. Full Icecat users can find it on their My Profile page.\"}"
"Essence:949164",EN,ERROR,"JSON 403: {\"StatusCode\":9,\"Code\":403,\"Error\":\"Forbidden\",\"Message\":\"To access Full Icecat content, an app_key is required. Full Icecat users can find it on their My Profile page.\"}"
"Essence:954272",EN,ERROR,"JSON 403: {\"StatusCode\":9,\"Code\":403,\"Error\":\"Forbidden\",\"Message\":\"To access Full Icecat content, an app_key is required. Full Icecat users can find it on their My Profile page.\"}"
"Maybelline:41554564846",EN,ERROR,"JSON 403: {\"StatusCode\":9,\"Code\":403,\"Error\":\"Forbidden\",\"Message\":\"To access Full Icecat content, an app_key is required. Full Icecat users can find it on their My Profile page.\"}"
"Maybelline:B34213",EN,ERROR,"JSON 403: {\"StatusCode\":9,\"Code\":403,\"Error\":\"Forbidden\",\"Message\":\"To access Full Icecat content, an app_key is required. Full Icecat users can find it on their My Profile page.\"}"
"L’Oréal Paris:30149502",EN,ERROR,"JSON 403: {\"StatusCode\":9,\"Code\":403,\"Error\":\"Forbidden\",\"Message\":\"To access Full Icecat content, an app_key is required. Full Icecat users can find it on their My Profile page.\"}"
"L’Oréal Paris:3600523465231",EN,ERROR,"JSON 403: {\"StatusCode\":9,\"Code\":403,\"Error\":\"Forbidden\",\"Message\":\"To access Full Icecat content, an app_key is required. Full Icecat users can find it on their My Profile page.\"}"
